gene,primary_cell_type,hex_color,other_cell_types_1,other_cell_types_2
CD14,monocytes,#A8786E,,
FCER1G,monocytes,#A8786E,,
C1QA,macrophages,#CC2A02,,
KLRF1,NK_cells,#6DCCDA,,
PRF1,NK_cells,#6DCCDA,,
GNLY,NK_cells,#6DCCDA,CD4_cytotoxic_T_cell,
CD3D,T_cells,#FF9896,,
CD3E,T_cells,#FF9896,,
CD3G,T_cells,#FF9896,,
CD8A,T_cells_CD8,#ED665D,,
CD8B,T_cells_CD8,#ED665D,,
CD4,T_cells_CD4,#67BF5C,myeloid_cells,
CD40LG,T_cells_CD4,#67BF5C,myeloid_cells,
SELL,naive_T_cells,#A0FFE4,,
TCF7,naive_T_cells,#A0FFE4,,
LEF1,naive_T_cells,#A0FFE4,,
GZMH,T_cells_CD8_effector_memory,#AD8BC9,,
MS4A1,B_cells,#729ECE,,
CD79A,B_cells,#729ECE,,
IGKC,B_cells,#729ECE,,
IGLC1,B_cells,#729ECE,,
IGLC2,B_cells,#729ECE,,
TCL1A,naive_B_cells,#2D916E,,
CD27,B_cells_memory,#A8254A,,
COCH,B_cells_memory_class_switched,#288EA8,,
MZB1,plasma_cells,#ED97CA,pDC,
JCHAIN,plasma_cells,#ED97CA,,
CCND1,MCL_cells,#A2A2A2,,
SOX11,MCL_cells,#A2A2A2,,
